initial_diameter_um,time_ms,T_K,p_Pa,rho_kg_m3,O2_fraction,C7H16_fraction,vel_mag_m_s,distance_from_inlet_m,radial_distance_m
50,10.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
50,0.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
50,1.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
50,2.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
50,3.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
50,4.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
50,5.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
50,6.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
50,7.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
50,8.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
50,9.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
50,10.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
50,0.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896
50,1.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896
50,2.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896
50,3.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896
50,4.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896
50,5.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896
50,6.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896
50,7.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896
50,8.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896
50,9.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896
50,10.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896
50,0.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015
50,1.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015
50,2.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015
50,3.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015
50,4.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015
50,5.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015
50,6.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015
50,7.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015
50,8.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015
50,9.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015
50,10.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015
50,0.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379
50,1.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379
50,2.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379
50,3.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379
50,4.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379
50,5.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379
50,6.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379
50,7.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379
50,8.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379
50,9.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379
50,10.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379
50,0.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911
50,1.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911
50,2.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911
50,3.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911
50,4.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911
50,5.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911
50,6.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911
50,7.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911
50,8.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911
50,9.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911
50,10.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911
50,0.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0004653153748215439,-0.0025000000000000005,0.03
50,1.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0004653153748215439,-0.0025000000000000005,0.03
50,2.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0004653153748215439,-0.0025000000000000005,0.03
