r_over_d,F,Frms,T,Trms,YO2,YO2rms,YN2,YN2rms,YH2,YH2rms,YH2O,YH2Orms,YCH4,YCH4rms,YCO,YCOrms,YCO2,YCO2rms,YOH,YOHrms,YNO,YNOrms,YCOLIF,YCOrms2,TNDR,source_file,axial_location
-2.78,0.0,0.0009,290.0,3.0,0.23,0.00402,0.764,0.00405,4.93e-06,5.18e-06,0.00593,0.0005,0.0,6.55e-05,0.0,0.000361,0.0,0.00036,2.56e-08,1.28e-07,8.92e-08,1.26e-07,1.18e-05,3.82e-05,0.0,D075,75.0
-0.28,0.927,0.0623,425.0,121.0,0.185,0.0122,0.655,0.00854,0.000206,0.000181,0.00872,0.00724,0.14,0.0131,0.00207,0.00359,0.00745,0.00754,7.48e-07,7.81e-06,1.6e-06,1.55e-06,0.00304,0.00292,0.0,D075,75.0
-0.14,0.9671,0.0434,335.0,48.0,0.192,0.00649,0.651,0.00687,6.08e-05,7.3e-05,0.00317,0.00295,0.15,0.00771,0.0004,0.00128,0.00217,0.00293,0.0,8.71e-07,5.58e-07,5.28e-07,0.000996,0.00119,0.0,D075,75.0
0.0,0.986,0.0372,307.0,21.0,0.194,0.00481,0.65,0.00598,1.83e-05,2.73e-05,0.00144,0.00128,0.154,0.00603,1.4e-05,0.00101,0.000631,0.00148,0.0,7.78e-07,2.45e-07,2.42e-07,0.000429,0.000592,0.0,D075,75.0
0.14,0.9864,0.0376,312.0,25.0,0.193,0.00534,0.65,0.00652,3.07e-05,4.29e-05,0.00165,0.00148,0.153,0.00609,0.000252,0.00106,0.00107,0.00181,9.95e-09,7.39e-07,2.58e-07,2.43e-07,0.0005,0.00063,0.0,D075,75.0
0.28,0.9673,0.0531,380.0,93.0,0.185,0.0118,0.654,0.00869,0.000143,0.00015,0.00606,0.00617,0.148,0.0107,0.00197,0.00287,0.00542,0.00592,1.02e-06,7.45e-06,8.68e-07,1.07e-06,0.00183,0.00213,0.0,D075,75.0
0.42,0.9145,0.0744,516.0,177.0,0.169,0.0213,0.661,0.0113,0.000408,0.00032,0.0154,0.0123,0.135,0.0177,0.00578,0.00628,0.0141,0.0116,7.33e-06,1.85e-05,2.91e-06,2.82e-06,0.00542,0.00481,0.0,D075,75.0
0.56,0.8395,0.0912,751.0,257.0,0.142,0.0327,0.67,0.0144,0.000861,0.000453,0.0323,0.0187,0.114,0.024,0.0141,0.00989,0.0287,0.0169,7.42e-06,2.33e-05,6.89e-06,5.07e-06,0.0124,0.00857,0.0,D075,75.0
0.69,0.7122,0.1253,1134.0,365.0,0.0949,0.0444,0.686,0.0173,0.00146,0.000572,0.0611,0.0276,0.0784,0.0339,0.0251,0.0123,0.0531,0.0245,0.000123,0.000374,1.57e-05,1.04e-05,0.0248,0.0132,0.0,D075,75.0
0.83,0.5563,0.1406,1525.0,350.0,0.0535,0.0382,0.701,0.0173,0.00164,0.000628,0.0886,0.0248,0.0401,0.0333,0.0326,0.0139,0.0795,0.0256,0.000717,0.00103,2.82e-05,1.34e-05,0.0347,0.0132,0.0,D075,75.0
0.97,0.3775,0.1168,1759.0,201.0,0.0464,0.0296,0.717,0.0174,0.000981,0.00075,0.1,0.0151,0.0102,0.0173,0.0237,0.0177,0.0959,0.0182,0.00195,0.00116,3.46e-05,1.2e-05,0.0271,0.0164,0.0,D075,75.0
1.11,0.2436,0.0787,1628.0,232.0,0.0847,0.0393,0.733,0.0137,0.000278,0.000408,0.0839,0.0186,0.00149,0.00467,0.00747,0.011,0.0848,0.0203,0.00178,0.00098,2.41e-05,1.19e-05,0.00961,0.0116,0.0,D075,75.0
1.25,0.1497,0.0599,1268.0,288.0,0.136,0.0374,0.744,0.011,5.98e-05,0.000136,0.0573,0.019,0.000197,0.00159,0.00151,0.00437,0.0595,0.0215,0.000614,0.000768,1.27e-05,8.38e-06,0.00208,0.00399,0.0,D075,75.0
1.39,0.0953,0.0439,959.0,271.0,0.169,0.0296,0.751,0.00861,2.11e-05,5.47e-05,0.0389,0.0146,5.89e-05,0.000282,0.000345,0.00205,0.0397,0.0188,0.000129,0.000299,5.93e-06,4.32e-06,0.00047,0.000983,0.0,D075,75.0
1.53,0.0585,0.0376,717.0,255.0,0.193,0.0257,0.756,0.00765,1.3e-05,3.51e-05,0.0266,0.0123,0.0,0.000192,0.0,0.00145,0.0249,0.0173,1.9e-05,7.04e-05,3.03e-06,2.6e-06,0.000131,0.000232,0.0,D075,75.0
1.67,0.0374,0.033,565.0,231.0,0.206,0.0221,0.759,0.00686,1.72e-05,2.57e-05,0.0192,0.0108,2.28e-05,0.000139,0.0,0.00106,0.0155,0.0148,3.97e-06,1.59e-05,1.86e-06,1.93e-06,9.45e-05,0.000128,0.0,D075,75.0
1.94,0.0121,0.0193,387.0,141.0,0.222,0.0136,0.763,0.00478,8.16e-06,1.24e-05,0.0106,0.00632,0.0,8.98e-05,0.0,0.00063,0.00486,0.00873,3.46e-07,4.04e-06,5.33e-07,8.95e-07,5.86e-05,7.13e-05,0.0,D075,75.0
2.22,0.0,0.0016,295.0,11.0,0.229,0.00418,0.764,0.00408,4.73e-06,6.08e-06,0.0063,0.000747,0.0,5.85e-05,0.0,0.000351,0.0,0.000539,1.41e-08,1.25e-07,1.06e-07,1.3e-07,2.77e-05,4.21e-05,0.0,D075,75.0
,,,,,,,,,,,,,,,,,,,,,,,,,,D15,15.0
