parcel_id,initial_diameter_um,time_ms,diameter_um,T_K,p_Pa,rho_kg_m3,O2_fraction,C7H16_fraction,vel_mag_m_s,distance_from_inlet_m,radial_distance_m,evaporation_time_ms,emissions_proxy,diameter_fraction
5.0,10,8.0,8.958372094583936,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015,40.511314744038785,16255.657372019392,0.8958372094583936
5.0,10,9.0,8.819522912728768,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015,40.511314744038785,15755.657372019392,0.8819522912728768
5.0,10,10.0,8.678452525149588,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015,40.511314744038785,15255.657372019392,0.8678452525149588
6.0,10,0.0,10.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379,40.510071524843354,20255.035762421678,1.0
6.0,10,1.0,9.875802654399333,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379,40.510071524843354,19755.035762421678,0.9875802654399333
6.0,10,2.0,9.75002339162742,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379,40.510071524843354,19255.035762421678,0.975002339162742
6.0,10,3.0,9.622600179053622,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379,40.510071524843354,18755.035762421678,0.9622600179053622
6.0,10,4.0,9.493466820638483,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379,40.510071524843354,18255.035762421678,0.9493466820638483
6.0,10,5.0,9.362552554896805,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379,40.510071524843354,17755.035762421678,0.9362552554896805
6.0,10,6.0,9.229781601524795,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379,40.510071524843354,17255.035762421678,0.9229781601524796
6.0,10,7.0,9.095072648444681,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379,40.510071524843354,16755.035762421678,0.9095072648444681
6.0,10,8.0,8.958338269407307,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379,40.510071524843354,16255.035762421678,0.8958338269407307
6.0,10,9.0,8.819484260305046,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379,40.510071524843354,15755.035762421678,0.8819484260305046
6.0,10,10.0,8.67840887988169,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0004229589619607745,-0.0025000000000000005,0.03162277660168379,40.510071524843354,15255.035762421678,0.867840887988169
7.0,10,0.0,10.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911,40.50921392948929,20254.606964744646,1.0
7.0,10,1.0,9.87580000856131,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911,40.50921392948929,19754.606964744646,0.987580000856131
7.0,10,2.0,9.750018031685848,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911,40.50921392948929,19254.606964744646,0.9750018031685848
7.0,10,3.0,9.622592032674918,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911,40.50921392948929,18754.606964744646,0.9622592032674918
7.0,10,4.0,9.493455811052076,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911,40.50921392948929,18254.606964744646,0.9493455811052076
7.0,10,5.0,9.362538600481068,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911,40.50921392948929,17754.606964744646,0.9362538600481068
7.0,10,6.0,9.229764615340828,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911,40.50921392948929,17254.606964744646,0.9229764615340829
7.0,10,7.0,9.095052537709567,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911,40.50921392948929,16754.606964744646,0.9095052537709567
7.0,10,8.0,8.9583149348969,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911,40.50921392948929,16254.606964744646,0.8958314934896899
7.0,10,9.0,8.819457595674262,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911,40.50921392948929,15754.606964744646,0.8819457595674262
7.0,10,10.0,8.6783787708878,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00046530867130752763,-0.0025000000000000005,0.0304138126514911,40.50921392948929,15254.606964744646,0.86783787708878
8.0,10,0.0,10.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0004653153748215439,-0.0025000000000000005,0.03,40.50921379374383,20254.606896871916,1.0
8.0,10,1.0,9.875800008142502,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0004653153748215439,-0.0025000000000000005,0.03,40.50921379374383,19754.606896871916,0.9875800008142501
